tau1,tau2,tau3,tau4,tau5,tau6
2.4643842522209525e-11,-6.913580818945775e-12,2.4584778657299466e-12,1.1790568521519162e-13,-2.2071233729548112e-13,1.9741153156616065e-15
-3.9187320055589225e-11,6.458833468059311e-12,-2.3518964553659316e-12,-1.52433621281034e-13,1.900701818158268e-13,-4.579669976578771e-16
-3.065547815594982e-11,-5.9614535530272406e-12,2.206235194535111e-12,1.7696955012524995e-13,-1.638689184346731e-13,5.377642775528102e-16
-8.825296049508324e-11,-7.389644451905042e-12,2.7888802378583932e-12,2.616795669041494e-13,-1.9051427102567686e-13,5.48172618408671e-16
7.426770309848507e-11,4.547473508864641e-13,-1.7763568394002505e-13,-1.887379141862766e-14,1.021405182655144e-14,-4.163336342344337e-16
-3.4150460237469815e-11,8.171241461241152e-13,-3.304023721284466e-13,-3.941291737419306e-14,1.9095836023552692e-14,-1.734723475976807e-16
1.48840939573347e-11,-2.6076918402395677e-12,1.0693668173189508e-12,-1.4999113062685865e-13,2.4291679778798425e-13,4.85722573273506e-16
-1.0766232350079008e-10,3.268496584496461e-13,-1.2434497875801753e-13,1.0547118733938987e-14,-3.064215547965432e-14,2.393918396847994e-16
-2.814726229871667e-11,5.051958851254312e-12,-2.135180920959101e-12,-8.349987368205802e-13,-5.067057884389214e-13,-1.1501216645726231e-15
-3.568079165461313e-11,7.105427357601002e-15,0.0,-1.1102230246251565e-15,-8.881784197001252e-16,-2.2065682614424986e-15
7.349676423018536e-11,1.4210854715202004e-14,-3.552713678800501e-15,-3.1086244689504383e-15,-1.7763568394002505e-15,5.290906601729262e-16
9.78728209588553e-11,-7.105427357601002e-15,0.0,3.552713678800501e-15,1.3322676295501878e-15,-2.1337098754514727e-15
-1.1031886515411315e-10,7.105427357601002e-15,-1.0658141036401503e-14,-6.328271240363392e-15,0.0,1.1379786002407855e-15
4.250111373949039e-11,-1.0658141036401503e-14,7.105427357601002e-15,2.1094237467877974e-15,1.3322676295501878e-15,-4.0939474033052647e-16
-1.12031273147295e-10,7.105427357601002e-15,3.552713678800501e-15,3.885780586188048e-15,4.440892098500626e-16,4.423544863740858e-16
-1.0033041064616555e-10,0.0,-7.105427357601002e-15,-6.439293542825908e-15,-4.440892098500626e-16,8.309325449928906e-16
-5.688782778179302e-11,-1.4210854715202004e-14,7.105427357601002e-15,-3.1086244689504383e-15,8.881784197001252e-16,-1.7555401576885288e-15
8.031797449348232e-11,1.7763568394002505e-14,-1.0658141036401503e-14,1.3322676295501878e-15,-2.220446049250313e-15,3.5908775952719907e-16
-7.825029513242043e-11,2.1316282072803006e-14,-3.552713678800501e-15,2.7755575615628914e-15,-2.220446049250313e-15,1.8908485888147197e-15
1.6717294215595757e-11,3.552713678800501e-15,0.0,4.6629367034256575e-15,-8.881784197001252e-16,3.5214886562329184e-16
-5.984279738413534e-11,2.842170943040401e-14,-1.0658141036401503e-14,-1.2323475573339238e-14,-3.9968028886505635e-15,2.1423834928313568e-15
-3.8322678364011153e-11,1.0658141036401503e-14,-7.105427357601002e-15,1.1102230246251565e-16,-2.6645352591003757e-15,1.5872719805187785e-15
8.002798423945023e-11,1.0658141036401503e-14,7.105427357601002e-15,-8.881784197001252e-15,-1.3322676295501878e-15,6.574601973952099e-16
